stud_name, gender, course_name, teacher, ects, classroom, grade, img_url
Julie,female,Science,Anthony,5,202,4,picture.com
Julie,female,Software,Yesam,5,202,0,picture.com
Julie,female,Business,Michael,5,202,0,picture.com
Julie,female,Business,Yesam,25,200,7,picture.com
William,male,Software,Yesam,10,203,10,picture.com
William,male,Business,Anthony,25,207,2,picture.com
William,male,Science,Yesam,20,202,12,picture.com
William,male,Business,Andrew,30,206,0,picture.com
Phil,male,Software,Andrew,10,202,2,picture.com
Phil,male,Research,Andrew,30,205,-3,picture.com
Phil,male,Math,Andrew,15,202,7,picture.com
Phil,male,Research,Andrew,30,207,12,picture.com
Jane,female,Research,Yesam,20,203,10,picture.com
Jane,female,Science,Adam,20,200,7,picture.com
Jane,female,Research,Anthony,10,203,7,picture.com
Jane,female,Science,Andrew,10,205,7,picture.com
Julie,female,Math,Andrew,10,202,2,picture.com
Julie,female,Software,Andrew,25,201,2,picture.com
Julie,female,Math,Anthony,25,206,10,picture.com
Julie,female,Science,Michael,10,205,12,picture.com
